Variable_name,Variable name,Variable,variable_english,Beschreibung,description
_ID,ID,ID,ID,ID,ID
AGS2,AGS2,Kennziffer des Bundeslands,"Code of the
federal state",Amtlicher Gemeindeschlüssel 2-stellig,"Ofﬁcial community
key with 2 digits"
BUNDESLAND,FEDERAL STATE,Name des Bundeslands,State name,Name des Bundeslands,State name
AGS5,AGS5,Kennziffer des Landkreises,"Code number of
the district",Amtlicher Gemeindeschlüssel 5-stellig,"Ofﬁcial community
key with 5 digits"
KREIS,CIRCLE,Name des Landkreises,Name of the district,Name des Landkreises,Name of the district
KR_KA_AU_JJJJMM,KR_KA_AU_YYYYMM,Angezeigte Kurzarbeit - Unternehmen,Displayed short- time work companies,Eingegangene Anzeigen über Kurzarbeit von Unternehmen je Monat (konjunkturelle Kurzarbeit),Advertisements received about short-time work from companies per month (short- time work in the economy)
KR_KA_AP_JJJJMM,KR_KA_AP_YYYYMM,Angezeigte Kurzarbeit - Personen,Displayed short- time work - people,Anzahl gemeldete Personen in den eingegangenen anzeigen über Kurzarbeit von unternehmen je Monat (konjunkturelle Kurzarbeit),Number of persons registered in the advertisements received about short-time working by companies per month (short-time working in the economy)
KR_KA_RU_JJJJMM,KR_KA_RU_YYYYMM,Realisierte Kurzarbeit - Unternehmen,Realized short- time work companies,Anzahl kurzarbeitende Unternehmen je Monat (konjunkturelle Kurzarbeit),Number of short- time working companies per month (cyclical short-time working)
KR_KA_RP_JJJJMM,KR_KA_RP_YYYYMM,Realisierte Kurzarbeit - Personen,Realized short- time work - people,Anzahl Kurzarbeiter je Monat (konjunkturelle Kurzarbeit),"Number of short- time workers per month (cyclical
short-time work)"
KR_AL_JJJJMM,KR_AL_YYYYMM,Arbeitslose,Unemployed,Anzahl Arbeitslose je Monat,Number of unemployed per month
KR_ALQ_JJJJMM,KR_ALQ_YYYYMM,Arbeitslosenquote,Unemployment rate,Arbeitslosenquote je Monat,Unemployment rate per month
KR_SVB_AO_JJJJMM,KR_SVB_AO_YYYYMM,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Employees subject to social security contributions at the place of work,Anzahl Sozialversicherungspflichtig Beschäftigte am Arbeitsort je Quartal,"Number of employees subject to social security contributions at the place of work per
quarter"
KR_SVB_WO_JJJJMM,KR_SVB_WO_YYYYMM,Sozialversicherungspflichtig Beschäftigte am Wohnort,Employees subject to social security contributions at place of residence,Anzahl Sozialversicherungspflichtig Beschäftigte am Wohnort je Quartal,Number of employees subject to social security contributions at the place of residence per quarter
KR_UB_JJJJMM,KR_UB_YYYYMM,Unterbeschäftigung (ohne Kurzarbeit),Underemployment (without short- time work),Anzahl Arbeitslose zuzüglich Teilnehmer an Arbeitsmarktmaßnahmen und Personen mit arbeitsmarktbedingtem Sonderstatus (z.b. kurzfristige Arbeitsunfähigkeit) je Monat,Number of unemployed plus participants in labor market measures and persons with a labor market- related special status (e.g. short- term inability to work) per month
KR_ALGA_JJJJMM,KR_ALGA_YYYYMM,Arbeitslosengeldempfänger,Unemployment beneﬁt recipients,Bestand an Leistungsbeziehenden von Arbeitslosengeld bei Arbeitslosigkeit je Monat,Number of recipients of unemployment beneﬁt in the event of unemployment per month
KR_GA_JJJJMM,KR_GA_YYYYMM,Gemeldete Arbeitsstellen,Registered jobs,"Anzahl sozialversicherungspflichtige, geringfügige (Mini-Jobs) und sonstige (z.B. Praktika- oder Traineestellen) Beschäftigungen je Monat",Number of marginal (mini jobs) and other (e.g. internship or trainee positions) jobs subject to social insurance contributions per month
KR_RLB_JJJJMM,KR_RLB_YYYYMM,Regelleistungsberechtigte,Beneﬁciaries,Bestand an Personen mit Anspruch auf Arbeitslosengeld II oder Sozialgeld je Monat (Hochrechnung für die letzten 3 Monate),Number of people entitled to unemployment beneﬁt II or social beneﬁts per month (extrapolation for the last 3 months)
KR_DL_QU,KR_DL_QU,Dienstleistungsquote,Service rate,Sozialversicherungspflichtig Beschäftigte am Arbeitsort im Dienstleistungssektor (WZ 2008) je 100 Einwohner im erwerbsfähigen Alter,"Employees subject to social insurance contributions at work in the service sector (WZ 2008)
per 100 inhabitants
of working age"
KR_ID_QU,KR_ID_QU,Industriequote,Industry quota,Sozialversicherungspflichtig Beschäftigte am Arbeitsort in der Industrie (WZ 2008) je 100 Einwohner im erwerbsfähigen Alter,"Employees subject to social insurance contributions at the place of work in industry (WZ 2008) per 100
inhabitants of
working age"
